,進站人次,出站人次,舊版4碼代碼,新版代碼,站名,英文站名,等級別,停靠列車次,進/出,出/進
179,97782,96410,1606,6220,壽豐,Shoufong,三等站,40,1.0142308889119387,0.9859687877114397
175,120395,118139,1610,6180,鳳林,Fonglin,三等站,39,1.0190961494510704,0.9812616803023382
173,152096,147201,1612,6160,光復,Guangfu,三等站,39,1.0332538501776483,0.9678163791289712
206,35004,37938,1815,7240,外澳,Waiao,招呼站,39,0.9226632927407876,1.0838189921151868
207,32376,31193,1814,7250,龜山,Gueishan,簡易站,39,1.0379251755201488,0.9634605880899432
209,95577,53851,1812,7270,大里,Dali,簡易站,39,1.774841692819075,0.5634305324502757
208,68905,72947,1813,7260,大溪,Dasi,招呼站,39,0.9445899077412367,1.058660474566432
210,8965,9861,1811,7280,石城,Shihcheng,招呼站,39,0.9091370043606125,1.0999442275515896
42,19331,18204,1108,2160,新埔,Sinpu,簡易站,38,1.0619094704460559,0.9416998603279706
24,18315,19851,2204,1201,上員,Shangyuan,招呼站,38,0.9226235454133292,1.083865683865684
37,10728,12780,1102,2110,談文,Tanwan,招呼站,38,0.8394366197183099,1.191275167785235
25,43701,41027,2211,1202,榮華,Ronghua,招呼站,38,1.0651765910254223,0.9388114688451065
40,5149,6413,1106,2140,龍港,Longgang,招呼站,38,0.8029003586464993,1.245484560108759
38,34356,37013,1104,2120,大山,Dashan,簡易站,38,0.9282144111528382,1.077337291884969
26,166050,148763,2205,1203,竹東,Jhudong,二等站,38,1.1162049703219215,0.8958928033724781
155,224675,219614,1516,5230,知本,Jhihben,三等站,38,1.0230449789175553,0.9774741292978747
27,29326,31059,2206,1204,橫山,Hengshan,招呼站,37,0.9442029685437393,1.059094319034304
30,3313,5571,2209,1207,富貴,Fuguei,招呼站,37,0.5946867707772393,1.681557500754603
31,168197,162259,2210,1208,內灣,Neiwan,簡易站,37,1.036595812867083,0.964696159860164
29,28283,35157,2208,1206,合興,Hesing,招呼站,37,0.8044770600449412,1.243043524378602
159,76145,71713,1630,6020,鹿野,Luye,三等站,37,1.0618019048150265,0.9417952590452426
28,15333,15784,2207,1205,九讚頭,jiouzantou,簡易站,37,0.9714267612772428,1.0294136829061502
181,102070,97773,1604,6240,志學,Jhihsyue,三等站,35,1.043948738404263,0.9579014401881062
189,230353,237680,1709,7060,和平,Heping,二等站,34,0.9691728374284753,1.0318077038284719
217,439784,448307,1904,7332,十分,Shihfen,簡易站,33,0.9809884744159694,1.0193799683480982
165,61684,60625,1623,6080,富里,Fuli,三等站,33,1.0174680412371133,0.9828318526684391
216,7000,4845,1903,7331,大華,Dahua,招呼站,33,1.4447884416924666,0.6921428571428572
219,11924,11468,1906,7334,嶺腳,Lingjiao,招呼站,32,1.0397628182769445,0.9617577993961758
